isin_prefix,company_name,nsdl_issuer,match_method,score
INE0K5L,Premier Energies International Private Limited,PREMIER ENERGIES INTERNATIONAL PRIVATE LIMITED,exact,100.0
INE0K6C,BEEMPOW ENERGY PRIVATE LIMITED,BEEMPOW ENERGY PRIVATE LIMITED,exact,100.0
INE0K7Q,KSH Infra Park 4 Private Limited,KSH INFRA PARK 4 PRIVATE LIMITED,exact,100.0
INE0K93,AMP Energy C&I Two Private Limited,AMP ENERGY C&I TWO PRIVATE LIMITED,exact,100.0
INE0KD7,Mantra Properties and Developers Pvt Ltd,MANTRA PROPERTIES AND DEVELOPERS PVT LTD,exact,100.0
INE0KDG,Vadodara Municipal Corporation,VADODARA MUNICIPAL CORPORATION,exact,100.0
INE0KE1,Airoli ITP Development Pvt Ltd,AIROLI ITP DEVELOPMENT PRIVATE LIMITED,exact,100.0
INE0KIE,DXDC Chennai Private Limited (Formerly BAM DLR CHENNAI PRIVATE LIMITED),DXDC CHENNAI PRIVATE LIMITED,exact,100.0
INE0KIS,Sify Infinit Spaces Limited,SIFY INFINIT SPACES LIMITED,exact,100.0
INE0KKQ,Lentra AI Private Limited,LENTRA AI PRIVATE LIMITED,exact,100.0
INE0KO7,Indospace Chittoor II Private Limited,INDOSPACE CHITTOOR II PRIVATE LIMITED,exact,100.0
INE0KRV,Vidarbha Cargo Private Limited,VIDARBHA CARGO PRIVATE LIMITED,exact,100.0
INE0KSB,Dalavaipuram Renewables Private Limited,DALAVAIPURAM RENEWABLES PRIVATE LIMITED,exact,100.0
INE0KUG,National Bank for Financing Infrastructure and Development,NATIONAL BANK FOR FINANCING INFRASTRUCTURE AND DEVELOPMENT,exact,100.0
INE0KXR,JSW RENEW ENERGY LIMITED,JSW RENEW ENERGY LIMITED,exact,100.0
INE0KYN,Fabulous Builders,FABULOUS BUILDERS LIMITED,exact,100.0
INE0L18,Vintage Coffee Private Limited,VINTAGE COFFEE PVT LTD,exact,100.0
